"id","pid","nick","level_name","name_en","name_fr","desc_en","desc_fr"
1,,"root","root","Available Data","Données disponibles",,
2,1,,"data_type","Financial Data","Données financiéres",,
3,2,,"time_period","Historical","Historiques",,
4,2,,"time_period","Current Year","L'exercise courrante",,
5,2,,"time_period","Planned","Prévues",,
6,3,"hist_auth",,"Authorities","Autorisations",,
7,3,"hist_exp",,"Expenditures","Dépenses",,
8,4,"in_year_auth",,"Authorities","Autorisations",,
9,4,"in_year_exp",,"Expenditures","Dépenses",,
18,5,,,"Authorities","Autorisations",,
10,1,,"data_type","People Management Data","Gestion des personnes",,
11,10,"hist_pm","time_period","Historical","Historiques",,
12,10,,"time_period","Current Year","L'exercise courrante",,
13,10,,"time_period","Planned","Prévues",,
14,1,,"data_type","Results Data","Résultats",,
15,14,,"time_period","Historical","Historiques",,
16,14,,"time_period","Current Year","L'exercise courrante",,
17,14,,"time_period","Planned","Prévues",,
