"DeptCodeDW","Tenure","2010-11","2011-12","2010-11","2011-12","2012-13"
"ACOA","Indeterminate",673,629,673,629,569
"ACOA","Term",27,15,27,15,6
"ACOA","Casual",21,9,21,9,9
"ACOA","Student",33,24,33,24,6
"AECB","Indeterminate",830,827,830,827,824
"AECB","Term",42,37,42,37,32
"AECB","Casual",0,0,0,0,0
"AECB","Student",0,0,0,0,0
"AGR","Indeterminate",5887,5721,5887,5721,5089
"AGR","Term",195,170,195,170,172
"AGR","Casual",322,235,322,235,228
"AGR","Student",554,518,554,518,502
"AHRAC","Indeterminate",12,12,12,12,0
"AHRAC","Term",2,1,2,1,0
"AHRAC","Casual",1,1,1,1,0
"AHRAC","Student",2,0,2,0,0
"APPRT","Indeterminate",7,6,7,6,2
"APPRT","Term",4,4,4,4,1
"APPRT","Casual",0,0,0,0,0
"APPRT","Student",0,0,0,0,0
"CAS","Indeterminate",525,548,525,548,527
"CAS","Term",70,69,70,69,62
"CAS","Casual",12,15,12,15,18
"CAS","Student",23,28,23,28,16
"CAT","Indeterminate",6,6,6,6,6
"CAT","Term",1,2,1,2,2
"CAT","Casual",2,2,2,2,1
"CAT","Student",0,0,0,0,0
"CB","Indeterminate",11,12,11,12,15
"CB","Term",2,2,2,2,0
"CB","Casual",0,0,0,0,0
"CB","Student",0,0,0,0,0
"CBSA","Indeterminate",13609,13849,13609,13849,13444
"CBSA","Term",235,246,235,246,217
"CBSA","Casual",215,244,215,244,200
"CBSA","Student",328,371,328,371,357
"CCMD","Indeterminate",737,716,737,716,588
"CCMD","Term",135,63,135,63,23
"CCMD","Casual",122,121,122,121,43
"CCMD","Student",16,15,16,15,3
"CCRA","Indeterminate",33857,33381,33857,33381,31755
"CCRA","Term",7324,8728,7324,8728,8843
"CCRA","Casual",1,1,1,1,0
"CCRA","Student",671,558,671,558,658
"CDC","Indeterminate",54,56,54,56,53
"CDC","Term",7,7,7,7,5
"CDC","Casual",0,0,0,0,0
"CDC","Student",0,0,0,0,1
"CEAA","Indeterminate",198,207,198,207,192
"CEAA","Term",28,16,28,16,17
"CEAA","Casual",10,14,10,14,6
"CEAA","Student",4,3,4,3,4
"CEO","Indeterminate",362,359,362,359,347
"CEO","Term",145,121,145,121,111
"CEO","Casual",168,27,168,27,19
"CEO","Student",31,21,31,21,18
"CFGB","Indeterminate",34,33,34,33,36
"CFGB","Term",1,1,1,1,1
"CFGB","Casual",0,2,0,2,1
"CFGB","Student",2,0,2,0,0
"CFIA","Indeterminate",5890,5934,5890,5934,5663
"CFIA","Term",748,575,748,575,529
"CFIA","Casual",0,0,0,0,0
"CFIA","Student",50,71,50,71,62
"CGC","Indeterminate",576,578,576,578,546
"CGC","Term",64,88,64,88,59
"CGC","Casual",13,11,13,11,16
"CGC","Student",2,3,2,3,4
"CH","Indeterminate",1892,1771,1892,1771,1599
"CH","Term",72,64,72,64,53
"CH","Casual",64,101,64,101,60
"CH","Student",38,45,38,45,41
"CHRC","Indeterminate",176,183,176,183,179
"CHRC","Term",8,12,8,12,16
"CHRC","Casual",7,4,7,4,14
"CHRC","Student",6,10,6,10,6
"CHRT","Indeterminate",18,17,18,17,16
"CHRT","Term",2,2,2,2,3
"CHRT","Casual",3,0,3,0,1
"CHRT","Student",0,1,0,1,1
"CI","Indeterminate",4060,3991,4060,3991,3622
"CI","Term",485,508,485,508,474
"CI","Casual",354,427,354,427,647
"CI","Student",97,91,97,91,107
"CICS","Indeterminate",22,21,22,21,21
"CICS","Term",0,0,0,0,0
"CICS","Casual",1,0,1,0,1
"CICS","Student",1,0,1,0,1
"CIDA","Indeterminate",1787,1705,1787,1705,1456
"CIDA","Term",103,66,103,66,51
"CIDA","Casual",30,12,30,12,32
"CIDA","Student",60,60,60,60,56
"CIHR","Indeterminate",418,404,418,404,372
"CIHR","Term",45,20,45,20,17
"CIHR","Casual",0,0,0,0,0
"CIHR","Student",0,0,0,0,5
"CIRB","Indeterminate",90,80,90,80,79
"CIRB","Term",12,9,12,9,11
"CIRB","Casual",0,0,0,0,1
"CIRB","Student",0,0,0,0,0
"CITT","Indeterminate",71,66,71,66,61
"CITT","Term",7,7,7,7,11
"CITT","Casual",2,0,2,0,0
"CITT","Student",1,4,1,4,1
"CPCC","Indeterminate",0,0,0,0,2
"CPCC","Term",1,1,1,1,2
"CPCC","Casual",0,0,0,0,2
"CPCC","Student",4,3,4,3,3
"CRTC","Indeterminate",370,391,370,391,398
"CRTC","Term",28,24,28,24,23
"CRTC","Casual",23,31,23,31,19
"CRTC","Student",2,5,2,5,4
"CSA","Indeterminate",647,657,647,657,588
"CSA","Term",36,27,36,27,23
"CSA","Casual",11,13,11,13,17
"CSA","Student",72,58,72,58,35
"CSC","Indeterminate",17090,17820,17090,17820,17368
"CSC","Term",609,636,609,636,747
"CSC","Casual",503,446,503,446,303
"CSC","Student",87,110,87,110,83
"CSEC","Indeterminate",0,1851,0,1851,1940
"CSEC","Term",0,134,0,134,134
"CSEC","Casual",0,0,0,0,1
"CSEC","Student",0,0,0,0,0
"CTA","Indeterminate",220,224,220,224,217
"CTA","Term",17,11,17,11,11
"CTA","Casual",8,4,8,4,8
"CTA","Student",12,11,12,11,8
"CTAIB","Indeterminate",201,208,201,208,195
"CTAIB","Term",5,3,5,3,4
"CTAIB","Casual",4,4,4,4,1
"CTAIB","Student",1,1,1,1,2
"EA","Indeterminate",6629,6676,6629,6676,6388
"EA","Term",462,312,462,312,355
"EA","Casual",239,274,239,274,316
"EA","Student",170,293,170,293,210
"EC","Indeterminate",6296,5973,6296,5973,5660
"EC","Term",314,184,314,184,139
"EC","Casual",189,157,189,157,255
"EC","Student",361,448,361,448,354
"ERC","Indeterminate",3,3,3,3,5
"ERC","Term",1,0,1,0,1
"ERC","Casual",0,0,0,0,0
"ERC","Student",0,0,0,0,0
"FCAC","Indeterminate",50,55,50,55,62
"FCAC","Term",6,3,6,3,3
"FCAC","Casual",4,7,4,7,6
"FCAC","Student",1,3,1,3,2
"FEDSO","Indeterminate",160,178,160,178,172
"FEDSO","Term",8,11,8,11,19
"FEDSO","Casual",34,31,34,31,23
"FEDSO","Student",7,5,7,5,4
"FIN","Indeterminate",762,750,762,750,727
"FIN","Term",12,6,12,6,4
"FIN","Casual",20,13,20,13,16
"FIN","Student",11,12,11,12,9
"FJA","Indeterminate",1170,1152,1170,1152,1150
"FJA","Term",1,2,1,2,1
"FJA","Casual",2,5,2,5,6
"FJA","Student",3,2,3,2,1
"FO","Indeterminate",9571,9415,9571,9415,8821
"FO","Term",757,806,757,806,799
"FO","Casual",564,605,564,605,576
"FO","Student",112,97,112,97,98
"FORDQ","Indeterminate",360,340,360,340,280
"FORDQ","Term",45,26,45,26,14
"FORDQ","Casual",39,20,39,20,25
"FORDQ","Student",12,15,12,15,20
"FPCC","Indeterminate",15,16,15,16,15
"FPCC","Term",0,0,0,0,1
"FPCC","Casual",1,0,1,0,0
"FPCC","Student",0,0,0,0,0
"FTRAC","Indeterminate",286,317,286,317,331
"FTRAC","Term",36,40,36,40,28
"FTRAC","Casual",0,0,0,0,0
"FTRAC","Student",18,19,18,19,15
"GG","Indeterminate",146,143,146,143,141
"GG","Term",14,13,14,13,11
"GG","Casual",9,7,9,7,4
"GG","Student",21,3,21,3,2
"GSC","Indeterminate",12987,12701,12987,12701,11195
"GSC","Term",508,352,508,352,373
"GSC","Casual",515,362,515,362,385
"GSC","Student",375,263,375,263,191
"H","Indeterminate",9178,9319,9178,9319,8585
"H","Term",548,623,548,623,573
"H","Casual",463,469,463,469,401
"H","Student",214,167,214,167,142
"HMIRC","Indeterminate",38,33,38,33,22
"HMIRC","Term",6,3,6,3,4
"HMIRC","Casual",1,3,1,3,3
"HMIRC","Student",1,1,1,1,2
"HRSD","Indeterminate",20963,19970,20963,19970,17404
"HRSD","Term",2271,1643,2271,1643,1867
"HRSD","Casual",843,634,843,634,530
"HRSD","Student",584,509,584,509,245
"IJC","Indeterminate",23,22,23,22,25
"IJC","Term",3,4,3,4,3
"IJC","Casual",1,0,1,0,2
"IJC","Student",3,2,3,2,2
"INAC","Indeterminate",4634,4686,4634,4686,4368
"INAC","Term",427,395,427,395,333
"INAC","Casual",215,165,215,165,85
"INAC","Student",151,163,151,163,189
"IPC","Indeterminate",226,231,226,231,233
"IPC","Term",8,11,8,11,9
"IPC","Casual",18,26,18,26,13
"IPC","Student",4,5,4,5,3
"IRB","Indeterminate",859,842,859,842,825
"IRB","Term",143,161,143,161,119
"IRB","Casual",67,49,67,49,84
"IRB","Student",9,8,9,8,6
"ISC","Indeterminate",5184,4990,5184,4990,4565
"ISC","Term",191,135,191,135,99
"ISC","Casual",100,62,100,62,69
"ISC","Student",116,54,116,54,49
"JUS","Indeterminate",4659,4638,4659,4638,4328
"JUS","Term",333,338,333,338,309
"JUS","Casual",103,109,103,109,66
"JUS","Student",63,45,63,45,22
"LAC","Indeterminate",1013,1002,1013,1002,802
"LAC","Term",90,78,90,78,59
"LAC","Casual",69,47,69,47,44
"LAC","Student",12,18,12,18,8
"MPCC","Indeterminate",11,14,11,14,14
"MPCC","Term",2,1,2,1,2
"MPCC","Casual",1,1,1,1,2
"MPCC","Student",0,0,0,0,0
"ND","Indeterminate",26578,24774,26578,24774,22838
"ND","Term",1646,1214,1646,1214,910
"ND","Casual",767,867,767,867,991
"ND","Student",274,322,274,322,200
"NEB","Indeterminate",359,369,359,369,381
"NEB","Term",16,19,16,19,22
"NEB","Casual",8,6,8,6,4
"NEB","Student",6,2,6,2,2
"NFB","Indeterminate",341,359,341,359,351
"NFB","Term",66,66,66,66,115
"NFB","Casual",0,0,0,0,0
"NFB","Student",0,0,0,0,0
"NPA","Indeterminate",1,0,1,0,0
"NPA","Term",1,0,1,0,0
"NPA","Casual",0,0,0,0,0
"NPA","Student",0,0,0,0,0
"NPB","Indeterminate",326,346,326,346,345
"NPB","Term",63,60,63,60,79
"NPB","Casual",19,18,19,18,27
"NPB","Student",1,4,1,4,3
"NR","Indeterminate",4245,4162,4245,4162,3813
"NR","Term",237,170,237,170,135
"NR","Casual",244,160,244,160,231
"NR","Student",211,167,211,167,182
"NRC","Indeterminate",3383,3288,3383,3288,3011
"NRC","Term",770,597,770,597,475
"NRC","Casual",0,0,0,0,0
"NRC","Student",108,60,108,60,39
"NRTEE","Indeterminate",29,28,29,28,3
"NRTEE","Term",2,4,2,4,0
"NRTEE","Casual",0,0,0,0,0
"NRTEE","Student",0,0,0,0,0
"NSERC","Indeterminate",363,366,363,366,344
"NSERC","Term",48,46,48,46,52
"NSERC","Casual",0,0,0,0,0
"NSERC","Student",17,12,17,12,11
"OAG","Indeterminate",586,590,586,590,552
"OAG","Term",58,52,58,52,49
"OAG","Casual",2,2,2,2,1
"OAG","Student",14,9,14,9,9
"OCI","Indeterminate",28,26,28,26,30
"OCI","Term",1,1,1,1,1
"OCI","Casual",1,0,1,0,1
"OCI","Student",1,1,1,1,1
"OCOL","Indeterminate",149,150,149,150,146
"OCOL","Term",7,2,7,2,5
"OCOL","Casual",5,8,5,8,6
"OCOL","Student",3,5,3,5,5
"ODPP","Indeterminate",821,849,821,849,860
"ODPP","Term",56,59,56,59,71
"ODPP","Casual",10,17,10,17,16
"ODPP","Student",0,5,0,5,7
"OICC","Indeterminate",338,323,338,323,292
"OICC","Term",8,7,8,7,5
"OICC","Casual",10,4,10,4,5
"OICC","Student",17,14,17,14,6
"OPSIC","Indeterminate",23,24,23,24,27
"OPSIC","Term",2,2,2,2,1
"OPSIC","Casual",2,4,2,4,2
"OPSIC","Student",0,0,0,0,1
"ORL","Indeterminate",24,26,24,26,25
"ORL","Term",2,2,2,2,1
"ORL","Casual",1,0,1,0,0
"ORL","Student",0,0,0,0,0
"OSFI","Indeterminate",529,573,529,573,600
"OSFI","Term",21,18,21,18,23
"OSFI","Casual",7,6,7,6,10
"OSFI","Student",5,6,5,6,5
"PCA","Indeterminate",3457,3239,3457,3239,2607
"PCA","Term",533,514,533,514,259
"PCA","Casual",0,0,0,0,0
"PCA","Student",137,68,137,68,57
"PCC","Indeterminate",40,42,40,42,50
"PCC","Term",5,6,5,6,4
"PCC","Casual",4,1,4,1,3
"PCC","Student",8,6,8,6,3
"PCO","Indeterminate",822,801,822,801,704
"PCO","Term",33,25,33,25,10
"PCO","Casual",37,43,37,43,29
"PCO","Student",29,23,29,23,11
"PHAC","Indeterminate",2356,2329,2356,2329,1881
"PHAC","Term",233,213,233,213,115
"PHAC","Casual",195,145,195,145,75
"PHAC","Student",113,92,113,92,92
"PMPRB","Indeterminate",56,51,56,51,48
"PMPRB","Term",5,4,5,4,4
"PMPRB","Casual",2,1,2,1,1
"PMPRB","Student",3,0,3,0,0
"PSC","Indeterminate",887,886,887,886,814
"PSC","Term",27,20,27,20,14
"PSC","Casual",56,42,56,42,23
"PSC","Student",26,27,26,27,14
"PSEP","Indeterminate",1022,998,1022,998,977
"PSEP","Term",21,31,21,31,32
"PSEP","Casual",50,56,50,56,72
"PSEP","Student",34,28,34,28,31
"PSSRB","Indeterminate",72,72,72,72,74
"PSSRB","Term",9,9,9,9,15
"PSSRB","Casual",4,4,4,4,3
"PSSRB","Student",3,3,3,3,4
"PSST","Indeterminate",26,28,26,28,25
"PSST","Term",7,9,7,9,6
"PSST","Casual",7,1,7,1,1
"PSST","Student",0,0,0,0,0
"RCMP","Indeterminate",5657,5730,5657,5730,5543
"RCMP","Term",332,271,332,271,296
"RCMP","Casual",113,156,113,156,95
"RCMP","Student",45,53,45,53,37
"RPSDP","Indeterminate",4,6,4,6,6
"RPSDP","Term",0,1,0,1,0
"RPSDP","Casual",0,0,0,0,0
"RPSDP","Student",0,0,0,0,3
"RSCT","Indeterminate",9,8,9,8,9
"RSCT","Term",0,1,0,1,0
"RSCT","Casual",0,1,0,1,1
"RSCT","Student",0,1,0,1,0
"SC","Indeterminate",5650,5733,5650,5733,4844
"SC","Term",2104,1977,2104,1977,1188
"SC","Casual",207,103,207,103,51
"SC","Student",144,114,144,114,48
"SCC","Indeterminate",161,178,161,178,174
"SCC","Term",33,37,33,37,33
"SCC","Casual",11,9,11,9,6
"SCC","Student",14,12,14,12,12
"SHARE","Indeterminate",0,0,0,0,4985
"SHARE","Term",0,0,0,0,110
"SHARE","Casual",0,0,0,0,151
"SHARE","Student",0,0,0,0,53
"SIRC","Indeterminate",15,17,15,17,15
"SIRC","Term",0,0,0,0,0
"SIRC","Casual",0,0,0,0,0
"SIRC","Student",0,0,0,0,0
"SSHRC","Indeterminate",182,185,182,185,169
"SSHRC","Term",30,27,30,27,26
"SSHRC","Casual",0,0,0,0,0
"SSHRC","Student",4,1,4,1,4
"SWC","Indeterminate",77,75,77,75,84
"SWC","Term",8,4,8,4,7
"SWC","Casual",13,14,13,14,8
"SWC","Student",4,5,4,5,1
"TBC","Indeterminate",1936,1909,1936,1909,1699
"TBC","Term",61,44,61,44,36
"TBC","Casual",123,69,123,69,76
"TBC","Student",57,51,57,51,49
"TC","Indeterminate",5027,4987,5027,4987,4546
"TC","Term",190,174,190,174,87
"TC","Casual",225,126,225,126,78
"TC","Student",111,83,111,83,67
"TRC","Indeterminate",16,18,16,18,13
"TRC","Term",24,28,24,28,11
"TRC","Casual",2,1,2,1,1
"TRC","Student",1,0,1,0,0
"VAC","Indeterminate",3556,3432,3556,3432,3133
"VAC","Term",238,223,238,223,239
"VAC","Casual",175,103,175,103,155
"VAC","Student",120,81,120,81,75
"WDO","Indeterminate",383,367,383,367,301
"WDO","Term",48,27,48,27,11
"WDO","Casual",12,5,12,5,9
"WDO","Student",36,20,36,20,14
"IOG","Indeterminate",70,71,70,71,77
"IOG","Term",7,7,7,7,5
"IOG","Casual",0,1,0,1,1
"IOG","Student",0,0,0,0,1
